district,coef
Белите брези,0.3041517702286533
Борово,0.14549278506185576
Бояна,0.11970843321934946
Бъкстон,0.04983959193870486
Витоша,0.07433089571111845
Връбница 1,-0.08134325254412231
Връбница 2,-0.13984313938320492
Гевгелийски,0.2926074494834546
Гео Милев,0.2698524282482993
Горна баня,-0.10566829048260691
Горубляне,-0.28134672759005175
Гоце Делчев,0.30930093794702435
Дианабад,0.16819559813155177
Докторски паметник,0.6288778117615149
Драгалевци,0.22952463670980938
Дружба 1,0.04503913992783742
Дружба 2,0.004929036587475035
Дървеница,0.09985494204121095
Експериментален,-0.24889768472171087
Западен парк,-0.11648766066914748
Зона Б-18,0.061382397977572146
Зона Б-19,0.03586948154223038
Зона Б-5,0.13109029249156243
Зона Б-5-3,0.3120323824869677
Иван Вазов,0.558307076567457
Изгрев,0.44058160729719453
Изток,0.4256785252162344
Илинден,0.13605044720616272
Карпузица,-0.05560730235657038
Красна поляна 1,-0.12103063926159688
Красна поляна 2,-0.07946601823785268
Красна поляна 3,0.017864590273714544
Красно село,0.10512730728133338
Кръстова вада,0.19752140428010395
Лагера,0.19008187595117398
Левски,-0.20515703670288488
Левски В,-0.22322770675358655
Левски Г,-0.2486565020167562
Лозенец,0.4598296852118128
Люлин 1,-0.2973485255188087
Люлин 10,-0.17330529686767718
Люлин 3,-0.30699745961303576
Люлин 4,-0.09563257622990012
Люлин 5,-0.33841427927980616
Люлин 6,-0.24258439613155622
Люлин 7,-0.06083760560846477
Люлин 8,-0.053922327159539665
Люлин 9,-0.12697098806332865
Малинова долина,-0.018598927619152626
Манастирски ливади,0.1674045370686932
Младост 1А,0.0743845878718587
Надежда 1,-0.09570219891338994
Оборище,0.3776772254474069
Редута,0.018429597630129538
Симеоново,0.1855385139293055
Слатина,0.1516207725333965
Студентски град,0.13589205974665855
Сухата река,0.10856791908298223
Център,0.4232825512558235
в.з.Малинова долина,0.23214866442573143
в.з.Симеоново - Драгалевци,0.5179210252934541
гр. Банкя,-0.17289886534980492
м-т Гърдова глава,0.033063563634447964
м-т Камбаните,0.28245204460170703
