district,sale_ppm2,rent_ppm2,resid,yield_pct,quadrant,plot_id
Банишора,2470,8.6,3.0772769953139634e-14,0.35,low_price_low_yield,1
Белите брези,3088,9.25,3.6542197839090876e-14,0.3,low_price_low_yield,2
Борово,2861,8.0,3.2746752169813313e-14,0.28,low_price_low_yield,3
Бояна,2690,10.02,4.4135635317406224e-14,0.37,high_price_high_yield,4
Бъкстон,2505,8.95,5.037240466013568e-14,0.36,speculative,5
Витоша,2701,8.96,4.072214263908121e-14,0.33,overvalued_low_yield,6
Връбница 1,2229,9.25,1.0658141036401504e-14,0.41,undervalued_high_yield,7
Връбница 2,2142,8.18,4.342205607422834e-14,0.38,high_price_high_yield,8
Гевгелийски,2907,6.84,4.6777396770873266e-14,0.24,overvalued_low_yield,9
Гео Милев,3444,8.14,4.47527319861805e-14,0.24,overvalued_low_yield,10
Горна баня,2210,7.9,4.337271282868945e-14,0.36,speculative,11
Горубляне,2092,8.01,4.1152266779439144e-14,0.38,high_price_high_yield,12
Гоце Делчев,3006,9.03,4.4211548002850685e-14,0.3,overvalued_low_yield,13
Дианабад,3149,9.77,4.053900072774143e-14,0.31,overvalued_low_yield,14
Докторски паметник,5178,12.02,3.1974423109204515e-14,0.23,low_price_low_yield,15
Драгалевци,2699,10.2,4.2551820652906e-14,0.38,high_price_high_yield,16
Дружба 1,2335,7.87,3.6896411851709373e-14,0.34,low_price_low_yield,17
Дружба 2,2307,9.26,5.11418864246685e-14,0.4,high_price_high_yield,18
Дървеница,2499,9.39,5.1683525184454906e-14,0.38,high_price_high_yield,19
Западен парк,2580,7.23,3.400454521137622e-14,0.28,low_price_low_yield,20
Зона Б-18,2598,9.2,3.090860900556436e-14,0.35,low_price_low_yield,21
Зона Б-19,2025,9.93,3.618158404462616e-14,0.49,undervalued_high_yield,22
Зона Б-5,2732,10.23,3.394815293076034e-14,0.37,undervalued_high_yield,23
Зона Б-5-3,3187,9.66,1.2878587085651816e-14,0.3,low_price_low_yield,24
Иван Вазов,4081,10.66,4.5519144009631424e-14,0.26,overvalued_low_yield,25
Изгрев,4632,10.68,3.0198066269804264e-14,0.23,low_price_low_yield,26
Изток,3941,10.25,4.2905849813206055e-14,0.26,overvalued_low_yield,27
Илинден,2505,7.97,1.6748507342916648e-14,0.32,low_price_low_yield,28
Карпузица,2218,7.86,4.9484226240435556e-14,0.35,overvalued_low_yield,29
Красна поляна 1,2299,9.23,3.5132390823693844e-14,0.4,undervalued_high_yield,30
Красна поляна 2,2109,7.49,3.836930773104541e-14,0.36,speculative,31
Красна поляна 3,2451,9.58,3.5132390823693844e-14,0.39,undervalued_high_yield,32
Красно село,2752,8.82,3.7626467598205314e-14,0.32,low_price_low_yield,33
Кръстова вада,3013,10.59,4.8639880002486866e-14,0.35,overvalued_low_yield,34
Лагера,2765,7.93,4.6458563492006556e-14,0.29,overvalued_low_yield,35
Левски,1801,8.37,3.755725889017672e-14,0.46,undervalued_high_yield,36
Левски В,1714,7.57,4.5830006456526463e-14,0.44,high_price_high_yield,37
Левски Г,1980,7.69,5.1514348342607263e-14,0.39,high_price_high_yield,38
Лозенец,3659,10.17,3.00436004576825e-14,0.28,low_price_low_yield,39
Люлин 1,2037,7.26,1.9895196601282804e-14,0.36,speculative,40
Люлин 10,1769,10.02,4.3520742565306136e-14,0.57,high_price_high_yield,41
Люлин 3,2158,7.63,4.085620730620576e-14,0.35,overvalued_low_yield,42
Люлин 4,2104,8.69,3.1974423109204515e-14,0.41,undervalued_high_yield,43
Люлин 5,1754,8.32,4.307665335545608e-14,0.47,high_price_high_yield,44
Люлин 6,1797,7.94,3.8635761256955454e-14,0.44,undervalued_high_yield,45
Люлин 7,2139,8.77,3.2329694477084564e-14,0.41,undervalued_high_yield,46
Люлин 8,2058,8.14,1.8118839761882557e-14,0.4,undervalued_high_yield,47
Люлин 9,2006,8.47,2.5224267119483555e-14,0.42,undervalued_high_yield,48
Малинова долина,2215,10.23,4.6889948306152064e-14,0.46,high_price_high_yield,49
Манастирски ливади,2698,10.02,4.1966430330830924e-14,0.37,high_price_high_yield,50
Младост 1А,2504,9.62,-6.5133084111342514e-15,0.38,undervalued_high_yield,51
Надежда 1,2283,8.11,3.671137468093851e-14,0.36,speculative,52
Оборище,3584,10.22,2.886579864025407e-14,0.29,low_price_low_yield,53
Редута,2882,8.52,5.092222939614052e-14,0.3,overvalued_low_yield,54
Симеоново,2642,8.39,2.8421709430404014e-14,0.32,low_price_low_yield,55
Слатина,2574,7.74,3.9671969413272265e-14,0.3,low_price_low_yield,56
Студентски град,2450,9.29,3.1334934647020426e-14,0.38,undervalued_high_yield,57
Сухата река,2437,8.03,3.671137468093851e-14,0.33,low_price_low_yield,58
Център,3395,10.79,4.378197151227677e-14,0.32,overvalued_low_yield,59
в.з.Малинова долина,2811,18.12,5.2783174656464593e-14,0.64,high_price_high_yield,60
в.з.Симеоново - Драгалевци,3182,5.18,6.039613253960853e-14,0.16,overvalued_low_yield,61
гр. Банкя,2182,8.66,4.973799150320701e-14,0.4,high_price_high_yield,62
м-т Гърдова глава,2426,10.02,4.2188474935755955e-14,0.41,high_price_high_yield,63
м-т Камбаните,2705,8.01,3.996802888650564e-14,0.3,overvalued_low_yield,64
