district,resid
Банишора,3.0772769953139634e-14
Белите брези,3.654219783909087e-14
Борово,3.2746752169813313e-14
Бояна,4.4135635317406224e-14
Бъкстон,5.0372404660135675e-14
Витоша,4.072214263908121e-14
Връбница 1,1.0658141036401503e-14
Връбница 2,4.342205607422834e-14
Гевгелийски,4.677739677087326e-14
Гео Милев,4.4752731986180506e-14
Горна баня,4.337271282868945e-14
Горубляне,4.115226677943914e-14
Гоце Делчев,4.421154800285068e-14
Дианабад,4.053900072774143e-14
Докторски паметник,3.197442310920451e-14
Драгалевци,4.2551820652906e-14
Дружба 1,3.689641185170937e-14
Дружба 2,5.11418864246685e-14
Дървеница,5.1683525184454906e-14
Експериментален,2.1908401019269757e-14
Западен парк,3.400454521137622e-14
Зона Б-18,3.0908609005564356e-14
Зона Б-19,3.6181584044626154e-14
Зона Б-5,3.394815293076034e-14
Зона Б-5-3,1.2878587085651816e-14
Иван Вазов,4.551914400963142e-14
Изгрев,3.019806626980426e-14
Изток,4.290584981320605e-14
Илинден,1.6748507342916648e-14
Карпузица,4.948422624043555e-14
Красна поляна 1,3.5132390823693844e-14
Красна поляна 2,3.836930773104541e-14
Красна поляна 3,3.5132390823693844e-14
Красно село,3.762646759820531e-14
Кръстова вада,4.863988000248686e-14
Лагера,4.645856349200655e-14
Левски,3.7557258890176723e-14
Левски В,4.5830006456526463e-14
Левски Г,5.1514348342607263e-14
Лозенец,3.00436004576825e-14
Люлин 1,1.9895196601282804e-14
Люлин 10,4.3520742565306136e-14
Люлин 3,4.085620730620576e-14
Люлин 4,3.197442310920451e-14
Люлин 5,4.3076653355456074e-14
Люлин 6,3.863576125695545e-14
Люлин 7,3.232969447708456e-14
Люлин 8,1.8118839761882553e-14
Люлин 9,2.5224267119483555e-14
Малинова долина,4.6889948306152064e-14
Манастирски ливади,4.196643033083092e-14
Младост 1А,-6.5133084111342514e-15
Надежда 1,3.671137468093851e-14
Оборище,2.886579864025407e-14
Редута,5.0922229396140515e-14
Симеоново,2.842170943040401e-14
Слатина,3.967196941327226e-14
Студентски град,3.133493464702042e-14
Сухата река,3.671137468093851e-14
Център,4.3781971512276764e-14
в.з.Малинова долина,5.278317465646459e-14
в.з.Симеоново - Драгалевци,6.039613253960852e-14
гр. Банкя,4.973799150320701e-14
м-т Гърдова глава,4.218847493575595e-14
м-т Камбаните,3.9968028886505635e-14
